Dimension,CPU Time (s),GPU Time (s),PyTorch Time (s)
2,0.0004361598752439022,0.08826960599981248,0.023091475805267693
4,0.0004261193796992302,0.0007922489661723375,0.00010739164426922798
8,0.0004907003138214349,0.000758531829342246,0.00010719504207372666
16,0.0006119558587670326,0.0008328076452016831,0.00010865195654332637
32,0.0007707467768341303,0.0007975106127560139,0.00011078519746661186
64,0.0012314204126596452,0.0007727197837084532,0.00012119305320084095
128,0.002153985947370529,0.0008929193019866944,0.0001757723744958639
256,0.004992223856970668,0.0016722073312848806,0.00021591349504888058
512,0.009018909838050603,0.0019857951439917086,0.00020990478806197642
1024,0.02562563819810748,0.0029577253852039577,0.0003213515505194664
2048,0.052041268162429336,0.004368757456541061,0.0005292181856930255
4096,0.10471392287872731,0.00727892885915935,0.000965575547888875
8192,0.19916843227110803,0.014546650275588036,0.001814488973468542
16384,0.3995567611884326,0.029170659324154257,0.0035109617281705143
32768,0.9764734617434442,0.08000000091269613,0.09494845420122147
